Continent,code,year,other,total,Coal,Oil,Gas,Nuclear,Hydro,Wind,Solar,Other
World,OWID_WRL,2012,187.21805,20384.44127,0.3018,0.3368,0.2274,0.04453,0.06839,0.009964,0.001907,0.009184
World,OWID_WRL,2013,199.68231,20478.108726,0.3011,0.3344,0.2271,0.04386,0.06953,0.01167,0.002544,0.009751
World,OWID_WRL,2014,213.87105,20442.0193,0.2992,0.3334,0.2264,0.04403,0.07022,0.01275,0.003563,0.01046
World,OWID_WRL,2015,228.43835,20350.499910000002,0.289,0.3373,0.2299,0.04403,0.06911,0.01481,0.004562,0.01123
World,OWID_WRL,2016,228.99364,20318.995366000003,0.2799,0.341,0.2308,0.04398,0.07041,0.01687,0.005758,0.01127
World,OWID_WRL,2017,239.14452,20565.224260000003,0.2764,0.339,0.2336,0.04309,0.06927,0.01944,0.007583,0.01163
World,OWID_WRL,2018,255.69934,20885.330260000002,0.2733,0.3335,0.2388,0.04272,0.06905,0.02095,0.009475,0.01224
World,OWID_WRL,2019,265.75473,20892.2062,0.2687,0.3305,0.2409,0.04359,0.06895,0.0231,0.01146,0.01272
World,OWID_WRL,2020,278.2411,19971.73717,0.2701,0.3113,0.2472,0.04328,0.07311,0.02674,0.01434,0.01393
World,OWID_WRL,2021,297.26974,20810.70399,0.271,0.3131,0.2445,0.04275,0.06818,0.02956,0.01672,0.01428
World,OWID_WRL,2022,302.73,21004.735090000002,0.2679,0.3177,0.2393,0.04002,0.06729,0.03281,0.02057,0.01441
World,OWID_WRL,2023,301.77344,21229.93534,0.2668,0.3195,0.2348,0.03995,0.06448,0.03536,0.02497,0.01421
